trials_3.thisTrialN,trials_3.stepSize,trials_3.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials_3.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
146,0.5,2.5,163.15034,163.6501571,163.6501571,163.6501571,163.949868,left,-2.5,1,1,0.4280687,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
147,0.5,2,164.0992352,164.5985099,164.5985099,164.6152837,164.8983884,right,2,1,1,0.4639083,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
148,0.5,2,165.0814014,165.581724,165.581724,165.581724,165.880661,right,2,1,1,0.4590396,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
149,0.5,1.5,166.0641705,166.5636342,166.5636342,166.5636342,166.8628376,left,-1.5,1,1,0.5458496,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
150,0.5,1.5,167.1293544,167.6292174,167.6292174,167.6292174,167.9289182,right,1.5,1,1,0.3704992,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
151,0.5,1,168.0286226,168.5285261,168.5285261,168.5285261,168.8286991,left,-1,1,1,0.2771859,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
152,0.5,1,168.8286991,169.3274515,169.3274515,169.3441173,169.6275684,right,1,1,1,0.3594352,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
153,0.5,0.5,169.7105086,170.2105677,170.2105677,170.2105677,,left,-0.5,1,1,0.2509572,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
154,0.5,0.5,170.4932816,170.9926093,170.9926093,170.9926093,171.2921474,left,-0.5,0,0,0.6028106,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
155,0.5,1,171.6250292,172.1250763,172.1250763,172.1250763,172.4242639,right,1,1,1,0.8244356,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
156,0.5,1,172.9742747,173.4736469,173.4736469,173.4902509,173.7730665,left,-1,1,1,0.524369,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
157,0.5,0.5,174.0231248,174.5226027,174.5226027,174.5226027,174.8220178,left,-0.5,0,0,0.6715366,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
158,0.5,1,175.2214749,175.7218063,175.7218063,175.7218063,176.0210247,right,1,0,0,0.559993,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
159,0.5,1.5,176.3042248,176.8035999,176.8035999,176.8035999,177.1033241,left,-1.5,0,0,0.378462,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
160,0.5,2,177.2033967,177.7030765,177.7030765,177.7030765,178.0025946,right,2,0,0,0.4035129,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
161,0.5,2.5,178.1360198,178.635343,178.635343,178.635343,178.9350381,left,-2.5,1,1,0.5115309,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
162,0.5,2.5,179.1676563,179.6683046,179.6683046,179.6683046,179.9673864,right,2.5,1,1,0.3498907,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
