trials_3.thisTrialN,trials_3.stepSize,trials_3.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials_3.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
52,0.5,1.5,68.8096982,69.3093783,69.3093783,69.3093783,69.6082463,left,-1.5,1,1,0.3542617,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
53,0.5,1,69.6915294,70.1920909,70.1920909,70.1920909,70.4907767,right,1,1,1,0.4765946,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
54,0.5,1,70.690906,71.1906579,71.1906579,71.1906579,71.4897579,right,1,0,0,0.2697042,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
55,0.5,1.5,71.4897579,71.9897765,71.9897765,71.9897765,72.2895478,left,-1.5,1,1,0.4197856,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
56,0.5,1.5,72.4391083,72.9393257,72.9393257,72.9393257,73.2385293,left,-1.5,1,1,0.4461773,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
57,0.5,1,73.4052437,73.9047962,73.9047962,73.9047962,74.2043078,right,1,1,1,0.5562722,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
58,0.5,1,74.4873186,74.9867776,74.9867776,74.9867776,75.286529,right,1,1,1,0.428842,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
59,0.5,0.5,75.4362712,75.936358,75.936358,75.936358,76.2360318,left,-0.5,0,0,0.5417277,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
60,0.5,1,76.5024111,77.0022274,77.0022274,77.0022274,77.3011866,left,-1,0,0,0.8011756,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
61,0.5,1.5,77.834713,78.3345373,78.3345373,78.3505777,78.6333661,right,1.5,1,1,0.4308979,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
62,0.5,1.5,78.7838387,79.2827352,79.2827352,79.2994252,79.5826895,left,-1.5,0,0,0.3373584,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
63,0.5,2,79.6489498,80.1488973,80.1488973,80.1488973,80.4480508,right,2,1,1,0.3338871,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
64,0.5,2,80.5147495,81.0142101,81.0142101,81.0142101,81.313704,right,2,0,0,0.3951838,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
65,0.5,2.5,81.4300517,81.9299288,81.9299288,81.9299288,82.2297782,right,2.5,1,1,0.4905649,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
66,0.5,2.5,82.4461321,82.9458635,82.9458635,82.9458635,83.2455688,left,-2.5,1,1,0.4593587,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
67,0.5,2,83.4294429,83.9288001,83.9288001,83.9288001,84.2278874,left,-2,1,1,0.4764496,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
68,0.5,2,84.4274173,84.9269365,84.9269365,84.9269365,85.2265332,left,-2,1,1,0.5287664,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
69,0.5,1.5,85.4767521,85.9756718,85.9756718,85.9756718,86.2756148,left,-1.5,1,1,0.413437,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
70,0.5,1.5,86.4084606,86.9085897,86.9085897,86.9085897,87.2082171,right,1.5,1,1,0.4346726,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
71,0.5,1,87.3747732,87.8740441,87.8740441,87.8904942,88.1741711,left,-1,0,0,0.4018101,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
72,0.5,1.5,88.3071481,88.8069408,88.8069408,88.8069408,89.1064522,right,1.5,1,1,0.4224331,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
73,0.5,1.5,89.2565203,89.7559528,89.7559528,89.7559528,90.0556453,left,-1.5,1,1,0.4786326,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
74,0.5,1,90.2559968,90.7551762,90.7551762,90.7551762,91.054303,right,1,1,1,0.4154451,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
75,0.5,1,91.1874415,91.687296,91.687296,91.687296,91.9873636,left,-1,1,1,0.6909817,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
76,0.5,0.5,92.4037804,92.9030865,92.9030865,92.9194312,93.202541,right,0.5,1,1,0.5324619,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
77,0.5,0.5,93.4521155,93.9517723,93.9517723,93.9517723,94.2515859,left,-0.5,0,0,0.5822706,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
78,0.5,1,94.5520635,95.0506836,95.0506836,95.0678317,95.3506885,left,-1,0,0,0.5366927,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
79,0.5,1.5,95.6171405,96.116526,96.116526,96.116526,96.4164794,left,-1.5,1,1,0.5795913,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
80,0.5,1.5,96.7155519,97.2154837,97.2154837,97.2154837,97.5148574,left,-1.5,0,0,0.3422527,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
81,0.5,2,97.5811354,98.0806935,98.0806935,98.0806935,98.3804177,right,2,1,1,0.3923575,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
82,0.5,2,98.4970286,98.9970018,98.9970018,98.9970018,99.2963479,left,-2,1,1,0.2933385,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
83,0.5,1.5,99.3133155,99.8126827,99.8126827,99.8126827,100.1123744,right,1.5,1,1,0.3752567,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
84,0.5,1.5,100.2121172,100.7128317,100.7128317,100.7128317,101.0279188,left,-1.5,1,1,0.3996757,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
85,0.5,1,101.1447688,101.6448705,101.6448705,101.6448705,101.943435,left,-1,0,0,0.5383202,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
86,0.5,1.5,102.2101292,102.7106344,102.7106344,102.7106344,103.0259729,left,-1.5,0,0,0.3855714,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
87,0.5,2,103.1257545,103.6253128,103.6253128,103.6253128,103.9243084,left,-2,1,1,0.4216333,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
88,0.5,2,104.075333,104.5743957,104.5743957,104.5910226,104.8746857,right,2,0,0,0.3430573,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
89,0.5,2.5,104.9401216,105.4401789,105.4401789,105.4401789,105.7396727,right,2.5,1,1,0.6158358,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
90,0.5,2.5,106.0729176,106.5736202,106.5736202,106.5736202,106.8889679,left,-2.5,1,1,0.3664719,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
91,0.5,2,106.9719722,107.4714599,107.4714599,107.4714599,107.7713138,right,2,1,1,0.7637009,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
92,0.5,2,108.2542908,108.753406,108.753406,108.7701914,109.0531329,right,2,1,1,0.4991981,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
93,0.5,1.5,109.2698052,109.7694657,109.7694657,109.7694657,110.069256,left,-1.5,0,0,0.3604614,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
94,0.5,2,110.1529205,110.6519398,110.6519398,110.6683911,110.9514518,right,2,1,1,0.6713525,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
95,0.5,2,111.350278,111.8501447,111.8501447,111.8501447,112.1501568,left,-2,0,0,0.4638255,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
96,0.5,2.5,112.3330242,112.8328055,112.8328055,112.8328055,113.1326153,left,-2.5,0,0,0.3831952,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
97,0.5,3,113.2328132,113.732214,113.732214,113.7491978,114.0330177,right,3,1,1,0.3787928,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
98,0.5,3,114.1316989,114.6311933,114.6311933,114.6311933,114.9310644,left,-3,1,1,0.3899244,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
99,0.5,2.5,115.0473929,115.5468861,115.5468861,115.5468861,115.84633,left,-2.5,1,1,0.3751753,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
100,0.5,2.5,115.9468486,116.446206,116.446206,116.446206,116.7456815,left,-2.5,1,1,0.4256617,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
101,0.5,2,116.8956425,117.3957837,117.3957837,117.3957837,117.6947956,right,2,1,1,0.5253131,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
102,0.5,2,117.9451235,118.4442582,118.4442582,118.4442582,118.7443235,right,2,1,1,0.5390878,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
103,0.5,1.5,119.0107776,119.510191,119.510191,119.5265538,119.810123,left,-1.5,1,1,0.4068402,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
104,0.5,1.5,119.9438699,120.4426164,120.4426164,120.4592747,120.7420564,left,-1.5,1,1,0.4675882,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
105,0.5,1,120.9417289,121.4413753,121.4413753,121.4413753,121.740838,right,1,1,1,0.4523717,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
106,0.5,1,121.9239934,122.4069342,122.4069342,122.4234612,122.7061531,right,1,0,0,0.6656955,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
107,0.5,1.5,123.089477,123.5891503,123.5891503,123.5891503,123.8887719,left,-1.5,1,1,0.6531943,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
108,0.5,1.5,124.2722875,124.7717802,124.7717802,124.7717802,125.0709901,right,1.5,1,1,0.3715403,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
109,0.5,1,125.1708427,125.6708659,125.6708659,125.6708659,125.969953,left,-1,1,1,0.3304744,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
110,0.5,1,126.0203552,126.5201061,126.5201061,126.5201061,126.8197482,right,1,1,1,0.3800048,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
111,0.5,0.5,126.919427,127.4188233,127.4188233,127.4188233,127.719608,right,0.5,0,0,0.369352,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
